Tỉnh/Thành phố,Ngày,Nhiệt độ trung bình (°C),Độ ẩm trung bình (%),Gió trung bình (m/s),Tổng lượng mưa (mm)
Bắc Ninh,22-04-2025,27.57375,78.0,4.45,4.85
Bắc Ninh,23-04-2025,26.88,79.25,3.16,0.0
Bến Tre,18-04-2025,29.552500000000002,76.0,1.61,0.0
Bến Tre,19-04-2025,29.71875,66.25,2.4375,0.0
Bến Tre,20-04-2025,29.355,64.75,2.49625,0.0
Bến Tre,21-04-2025,29.995,63.875,2.40125,0.0
Bến Tre,22-04-2025,30.19,61.125,2.4,0.2
Bến Tre,23-04-2025,33.5625,49.25,1.83,0.21
Bình Định,18-04-2025,25.645,89.0,4.6825,0.0
Bình Định,19-04-2025,25.71875,86.75,4.61,0.0
Bình Định,20-04-2025,25.97,85.875,4.0075,0.0
Bình Định,21-04-2025,26.208750000000002,86.125,3.5775,0.0
Bình Định,22-04-2025,26.085,86.625,4.465,0.0
Bình Định,23-04-2025,26.505000000000003,82.0,6.66,0.0
Bình Dương,18-04-2025,29.6325,64.5,3.735,1.11
Bình Dương,19-04-2025,31.134999999999998,57.0,3.6175,0.0
Bình Dương,20-04-2025,30.92625,54.375,3.67375,0.0
Bình Dương,21-04-2025,31.215,56.5,3.25875,0.0
Bình Dương,22-04-2025,30.60625,59.25,3.4699999999999998,0.11
Bình Dương,23-04-2025,32.76,51.0,3.3925,0.15
Bình Phước,18-04-2025,24.315,85.0,1.2000000000000002,2.8400000000000003
Bình Phước,19-04-2025,24.95625,80.375,1.27375,4.87
Bình Phước,20-04-2025,25.345,77.0,1.1825,5.28
Bình Phước,21-04-2025,26.13875,70.0,1.245,0.1
Bình Phước,22-04-2025,25.2225,78.625,1.23125,1.8199999999999998
Bình Phước,23-04-2025,28.19,62.25,1.2025000000000001,0.63
Bình Thuận,18-04-2025,27.0425,84.75,2.9775,0.0
Bình Thuận,19-04-2025,27.06875,83.125,2.8625,0.14
Bình Thuận,20-04-2025,27.197499999999998,84.0,2.90875,0.0
Bình Thuận,21-04-2025,27.22875,86.0,3.57625,0.0
Bình Thuận,22-04-2025,27.465,83.875,2.70875,0.11
Bình Thuận,23-04-2025,27.2025,84.0,4.5325,0.0
Cà Mau,18-04-2025,28.04,76.5,3.005,0.0
Cà Mau,19-04-2025,27.87125,78.875,4.1425,0.0
Cà Mau,20-04-2025,28.06625,76.125,2.8125,0.26
Cà Mau,21-04-2025,27.98875,75.125,2.68875,0.0
Cà Mau,22-04-2025,27.85875,78.5,4.31,0.0
Cà Mau,23-04-2025,28.3975,76.75,4.3374999999999995,0.0
Cần Thơn,18-04-2025,30.2075,59.5,3.6849999999999996,0.0
Cần Thơn,19-04-2025,30.84625,59.5,3.3725,0.0
Cần Thơn,20-04-2025,31.13625,54.75,3.27375,0.0
Cần Thơn,21-04-2025,31.3,54.875,3.08875,0.0
Cần Thơn,22-04-2025,30.7875,57.375,3.0524999999999998,0.36
Cần Thơn,23-04-2025,32.5975,51.75,4.4925,1.11
Cao Bằng,18-04-2025,22.1475,70.0,1.1724999999999999,0.64
Cao Bằng,19-04-2025,24.095,62.25,2.0925000000000002,0.8200000000000001
Cao Bằng,20-04-2025,23.675,66.125,2.265,0.35
Cao Bằng,21-04-2025,22.83,69.5,2.10375,0.0
Cao Bằng,22-04-2025,23.9325,66.875,2.0075,9.3
Cao Bằng,23-04-2025,22.96,70.25,1.2175,2.75
Đà Nẵng,18-04-2025,27.0575,87.25,7.12,0.0
Đà Nẵng,19-04-2025,27.075,85.625,6.55,0.0
Đà Nẵng,20-04-2025,27.305,88.375,6.205,0.0
Đà Nẵng,21-04-2025,27.44125,86.125,5.5325,0.0
Đà Nẵng,22-04-2025,27.24375,86.0,6.20875,0.0
Đà Nẵng,23-04-2025,27.555,87.0,7.1125,0.0
Đăk Lăk,18-04-2025,29.314999999999998,62.25,0.7575000000000001,0.11
Đăk Lăk,19-04-2025,29.21375,62.625,1.62,2.0300000000000002
Đăk Lăk,20-04-2025,29.8275,54.125,1.6099999999999999,0.0
Đăk Lăk,21-04-2025,30.135,53.0,1.74125,0.0
Đăk Lăk,22-04-2025,30.736250000000002,53.875,1.4537499999999999,2.0500000000000003
Đăk Lăk,23-04-2025,32.765,48.5,2.8475,0.0
Đăk Nông,18-04-2025,27.6075,71.0,1.76,2.24
Đăk Nông,19-04-2025,30.56875,56.125,1.6875,0.61
Đăk Nông,20-04-2025,30.8675,51.75,1.8712499999999999,0.0
Đăk Nông,21-04-2025,30.99625,50.0,2.17875,0.0
Đăk Nông,22-04-2025,30.945,54.5,1.8,0.11
Đăk Nông,23-04-2025,32.965,46.25,2.1175,0.33
Điện Biên,18-04-2025,21.9975,55.25,0.3825,0.0
Điện Biên,19-04-2025,24.8975,48.75,0.72,0.0
Điện Biên,20-04-2025,24.87625,54.0,1.04375,0.98
Điện Biên,21-04-2025,23.8825,62.25,0.6174999999999999,2.0
Điện Biên,22-04-2025,23.895,61.75,0.605,0.24
Điện Biên,23-04-2025,26.7925,51.25,0.9825,0.12
Đồng Nai,18-04-2025,27.6875,81.0,0.675,3.4299999999999997
Đồng Nai,19-04-2025,28.353749999999998,71.625,0.6975,1.8299999999999998
Đồng Nai,20-04-2025,28.98125,62.625,1.12125,0.0
Đồng Nai,21-04-2025,28.655,66.625,1.21,0.18
Đồng Nai,22-04-2025,27.0775,79.75,0.71375,20.74
Đồng Nai,23-04-2025,30.845000000000002,61.0,1.1125,0.0
Đồng Tháp,18-04-2025,31.73,57.0,4.525,0.35
Đồng Tháp,19-04-2025,32.14125,54.375,3.8925,1.1400000000000001
Đồng Tháp,20-04-2025,32.21125,50.125,4.07875,0.0
Đồng Tháp,21-04-2025,32.28375,49.125,3.1687499999999997,0.17
Đồng Tháp,22-04-2025,31.935,52.75,4.1049999999999995,0.5800000000000001
Đồng Tháp,23-04-2025,32.7675,52.75,3.8525,1.38
Gia Lai,18-04-2025,18.6125,93.25,0.5900000000000001,2.6999999999999997
Gia Lai,19-04-2025,20.2,84.375,0.8475,19.92
Gia Lai,20-04-2025,21.685,67.25,1.06,0.0
Gia Lai,21-04-2025,22.01,66.625,1.16,0.29000000000000004
Gia Lai,22-04-2025,22.5875,69.375,1.175,0.62
Gia Lai,23-04-2025,23.447499999999998,69.0,1.6275,6.78
Hà Giang,18-04-2025,24.89,74.75,2.175,0.27
Hà Giang,19-04-2025,26.78875,63.75,3.5225,0.12
Hà Giang,20-04-2025,26.33875,70.0,3.5125,0.62
Hà Giang,21-04-2025,25.19875,76.0,3.345,0.13
Hà Giang,22-04-2025,26.12375,72.75,2.55125,7.19
Hà Giang,23-04-2025,25.14,75.75,2.8425000000000002,3.76
Hà Nam,18-04-2025,26.85,82.0,4.1075,2.27
Hà Nam,19-04-2025,27.35875,77.5,3.7725,0.0
Hà Nam,20-04-2025,26.65625,81.5,3.67625,5.09
Hà Nam,21-04-2025,27.3325,80.0,4.28,3.03
Hà Nam,22-04-2025,27.595,78.625,3.2725,0.2
Hà Nam,23-04-2025,27.21,78.75,2.7600000000000002,0.0
Hà Nội,18-04-2025,26.36,84.25,2.9325,0.0
Hà Nội,19-04-2025,28.021250000000002,75.25,4.10375,0.0
Hà Nội,20-04-2025,27.23375,80.125,3.6725,5.05
Hà Nội,21-04-2025,27.79375,77.25,3.03375,1.02
Hà Nội,22-04-2025,27.405,79.375,2.93625,3.93
Hà Nội,23-04-2025,26.6875,80.5,2.9025,0.0
Hà Tĩnh,18-04-2025,24.5575,91.5,4.525,1.24
Hà Tĩnh,19-04-2025,25.2075,88.625,4.445,0.77
Hà Tĩnh,20-04-2025,25.2475,88.25,5.7675,0.53
Hà Tĩnh,21-04-2025,25.30625,89.0,5.95625,0.6
Hà Tĩnh,22-04-2025,25.525,87.125,5.37875,0.14
Hà Tĩnh,23-04-2025,26.885,81.75,3.8025,0.0
Hải Dương,18-04-2025,24.9025,81.5,2.83,0.0
Hải Dương,19-04-2025,25.435000000000002,75.875,4.155,0.0
Hải Dương,20-04-2025,25.5375,75.375,4.1825,0.98
Hải Dương,21-04-2025,25.541249999999998,75.75,4.40625,0.26
Hải Dương,22-04-2025,25.9,74.25,3.5749999999999997,6.4
Hải Dương,23-04-2025,25.83,73.75,2.905,0.72
Hải Phòng,18-04-2025,23.78,93.75,7.67,1.12
Hải Phòng,19-04-2025,23.88375,91.875,7.80125,0.11
Hải Phòng,20-04-2025,23.9225,90.625,5.7175,0.54
Hải Phòng,21-04-2025,24.21,90.125,7.5525,0.0
Hải Phòng,22-04-2025,23.9575,91.875,4.78875,0.0
Hải Phòng,23-04-2025,23.7425,91.5,4.4725,0.0
Hậu Giang,18-04-2025,30.0375,67.75,3.3449999999999998,0.0
Hậu Giang,19-04-2025,30.736250000000002,60.0,3.23375,0.0
Hậu Giang,20-04-2025,31.05625,55.0,3.08375,0.0
Hậu Giang,21-04-2025,31.38125,55.125,2.55,0.0
Hậu Giang,22-04-2025,30.66875,58.5,2.99375,0.44000000000000006
Hậu Giang,23-04-2025,32.3725,53.0,4.2375,0.93
Hòa Bình,18-04-2025,25.3525,76.0,1.3925,0.0
Hòa Bình,19-04-2025,27.58125,61.625,0.83625,0.0
Hòa Bình,20-04-2025,25.67875,76.0,1.10375,2.1100000000000003
Hòa Bình,21-04-2025,27.037499999999998,68.75,0.775,0.51
Hòa Bình,22-04-2025,27.9675,71.0,0.69875,0.36
Hòa Bình,23-04-2025,26.2175,78.5,1.8375,0.32
Hưng Yên,18-04-2025,27.15,81.5,3.675,1.35
Hưng Yên,19-04-2025,27.94,75.125,4.6375,0.0
Hưng Yên,20-04-2025,27.3675,78.125,4.58125,2.86
Hưng Yên,21-04-2025,27.81125,78.0,4.76,6.66
Hưng Yên,22-04-2025,27.63625,78.0,4.02875,5.11
Hưng Yên,23-04-2025,26.9425,80.0,2.855,0.0
Khánh Hòa,18-04-2025,28.6525,77.25,5.797499999999999,1.49
Khánh Hòa,19-04-2025,28.89875,76.125,5.96125,1.6
Khánh Hòa,20-04-2025,28.9575,76.875,6.52375,0.0
Khánh Hòa,21-04-2025,28.8675,78.625,5.6975,5.83
Khánh Hòa,22-04-2025,28.36375,76.625,4.00375,13.86
Khánh Hòa,23-04-2025,26.4225,83.0,5.6475,34.28
Kien Giang,18-04-2025,28.59,69.75,2.7775,0.0
Kien Giang,19-04-2025,28.58875,73.625,3.77875,0.0
Kien Giang,20-04-2025,28.56875,73.375,3.1625,0.0
Kien Giang,21-04-2025,28.60875,71.375,2.505,0.0
Kien Giang,22-04-2025,28.74625,70.5,3.35625,0.0
Kien Giang,23-04-2025,29.125,71.25,4.4425,0.0
Kon Tum,18-04-2025,17.2375,92.0,1.4525,7.1000000000000005
Kon Tum,19-04-2025,19.26375,83.625,1.51875,11.92
Kon Tum,20-04-2025,20.65375,77.875,1.09875,2.3
Kon Tum,21-04-2025,20.82625,74.125,1.37875,1.3399999999999999
Kon Tum,22-04-2025,21.4575,70.625,1.5162499999999999,2.37
Kon Tum,23-04-2025,21.595,73.5,1.765,6.449999999999999
Lai Châu,18-04-2025,15.16,62.75,1.1125,0.16
Lai Châu,19-04-2025,16.82875,54.125,1.6612500000000001,0.19
Lai Châu,20-04-2025,16.87,58.125,1.8275,0.0
Lai Châu,21-04-2025,16.75,59.125,1.75375,1.09
Lai Châu,22-04-2025,16.49375,61.875,1.5225,0.74
Lai Châu,23-04-2025,20.19,50.5,1.42,0.42
Lâm Đồng,18-04-2025,17.525,84.5,1.415,1.31
Lâm Đồng,19-04-2025,19.70125,75.25,1.66875,0.9099999999999999
Lâm Đồng,20-04-2025,19.58125,69.625,1.73625,0.0
Lâm Đồng,21-04-2025,19.57,69.125,1.6,0.15
Lâm Đồng,22-04-2025,19.9575,69.0,1.495,0.12
Lâm Đồng,23-04-2025,23.5575,57.75,1.3199999999999998,3.3899999999999997
Lạng Sơn,18-04-2025,25.48,73.0,2.185,0.0
Lạng Sơn,19-04-2025,27.36,64.75,2.525,0.0
Lạng Sơn,20-04-2025,26.51875,69.5,2.62125,0.73
Lạng Sơn,21-04-2025,25.16125,74.5,2.4475000000000002,0.0
Lạng Sơn,22-04-2025,27.44375,66.25,1.9475,3.95
Lạng Sơn,23-04-2025,27.2225,66.0,1.235,0.36
Lào Cai,18-04-2025,24.45,65.5,0.995,0.94
Lào Cai,19-04-2025,25.62375,63.25,1.79375,0.9400000000000001
Lào Cai,20-04-2025,25.1025,71.625,2.12375,2.82
Lào Cai,21-04-2025,24.888749999999998,72.25,1.825,0.54
Lào Cai,22-04-2025,25.576249999999998,68.625,1.37125,1.3
Lào Cai,23-04-2025,27.4875,62.75,2.4724999999999997,5.109999999999999
Long An,18-04-2025,31.2075,56.0,4.8225,1.15
Long An,19-04-2025,31.78125,54.5,4.26125,0.72
Long An,20-04-2025,31.6175,51.875,4.36375,0.0
Long An,21-04-2025,31.3525,53.625,3.29125,0.0
Long An,22-04-2025,31.62,53.0,3.23375,0.8300000000000001
Long An,23-04-2025,33.2325,49.75,3.865,0.21
Nam Định,18-04-2025,24.1325,91.75,3.6125,5.67
Nam Định,19-04-2025,23.82125,93.125,4.6075,0.0
Nam Định,20-04-2025,24.04625,93.25,3.955,3.3099999999999996
Nam Định,21-04-2025,24.19625,92.875,4.3925,0.14
Nam Định,22-04-2025,24.33625,92.625,4.00125,0.0
Nam Định,23-04-2025,24.6325,92.25,4.125,0.0
Nghệ An,18-04-2025,24.605,90.25,4.645,0.0
Nghệ An,19-04-2025,24.65375,89.25,5.1825,1.55
Nghệ An,20-04-2025,24.3425,91.625,6.13375,1.6
Nghệ An,21-04-2025,24.52,91.375,6.24375,0.0
Nghệ An,22-04-2025,24.74625,90.875,5.30125,0.0
Nghệ An,23-04-2025,24.925,91.5,4.0625,0.0
Ninh Bình,18-04-2025,26.377499999999998,82.75,3.1625,8.08
Ninh Bình,19-04-2025,26.60625,78.375,3.0075,0.0
Ninh Bình,20-04-2025,26.2675,81.25,2.79375,6.57
Ninh Bình,21-04-2025,26.845,79.375,3.39125,3.58
Ninh Bình,22-04-2025,27.29875,77.375,2.64125,0.1
Ninh Bình,23-04-2025,26.35,79.75,2.56,0.0
Ninh Thuận,18-04-2025,26.015,84.0,2.215,0.0
Ninh Thuận,19-04-2025,26.6525,79.0,2.75375,0.0
Ninh Thuận,20-04-2025,27.03,78.625,2.4125,0.0
Ninh Thuận,21-04-2025,27.0325,80.5,2.68875,0.0
Ninh Thuận,22-04-2025,27.3575,77.0,3.03625,0.0
Ninh Thuận,23-04-2025,28.884999999999998,73.25,5.48,0.0
Phú Thọ,18-04-2025,26.9175,80.25,2.2225,0.0
Phú Thọ,19-04-2025,28.262500000000003,71.875,2.2575,0.0
Phú Thọ,20-04-2025,27.235,78.625,2.01125,0.1
Phú Thọ,21-04-2025,26.915,79.625,1.9637499999999999,1.15
Phú Thọ,22-04-2025,27.37625,78.125,1.7075,4.59
Phú Thọ,23-04-2025,26.612499999999997,80.75,0.99,1.2
Phú Yên,18-04-2025,25.900000000000002,86.25,3.285,0.0
Phú Yên,19-04-2025,25.853749999999998,82.0,3.5100000000000002,0.0
Phú Yên,20-04-2025,26.294999999999998,80.5,2.9575,0.0
Phú Yên,21-04-2025,26.44875,81.5,2.62625,0.0
Phú Yên,22-04-2025,26.528750000000002,81.0,3.05,0.0
Phú Yên,23-04-2025,27.9625,75.25,3.8525,0.15
Quản Bình,18-04-2025,25.2775,87.25,2.7175,1.38
Quản Bình,19-04-2025,25.71125,86.0,2.81625,1.0
Quản Bình,20-04-2025,25.1675,88.375,4.49875,0.36
Quản Bình,21-04-2025,25.24375,89.625,4.4375,0.66
Quản Bình,22-04-2025,25.50125,87.25,3.4987500000000002,0.0
Quản Bình,23-04-2025,28.0175,75.0,3.0625,0.3
Quảng Nam,18-04-2025,25.785,88.25,1.7675,1.95
Quảng Nam,19-04-2025,26.435,82.625,3.17875,0.61
Quảng Nam,20-04-2025,26.78625,76.25,4.28,0.0
Quảng Nam,21-04-2025,26.91375,76.625,4.2125,0.0
Quảng Nam,22-04-2025,27.31625,75.25,3.88875,0.11
Quảng Nam,23-04-2025,29.0675,69.0,4.365,0.0
Quảng Ngãi,18-04-2025,25.865000000000002,90.0,7.8975,0.24
Quảng Ngãi,19-04-2025,25.73375,90.125,9.08,0.0
Quảng Ngãi,20-04-2025,25.93375,89.5,9.21875,0.0
Quảng Ngãi,21-04-2025,26.02,90.0,8.185,0.0
Quảng Ngãi,22-04-2025,26.07625,90.0,9.01,0.0
Quảng Ngãi,23-04-2025,25.8375,92.25,8.7475,0.0
Quảng Ninh,18-04-2025,22.89,96.25,2.42,0.14
Quảng Ninh,19-04-2025,23.09,95.875,2.75,0.67
Quảng Ninh,20-04-2025,23.325,94.625,2.31,2.57
Quảng Ninh,21-04-2025,23.45375,95.75,1.42125,0.0
Quảng Ninh,22-04-2025,23.6825,94.625,2.0775,0.0
Quảng Ninh,23-04-2025,23.795,92.75,2.69,0.14
Quảng Trị,18-04-2025,25.0175,89.75,4.605,3.08
Quảng Trị,19-04-2025,25.59625,86.0,3.1975000000000002,7.59
Quảng Trị,20-04-2025,25.535,85.0,4.4425,2.42
Quảng Trị,21-04-2025,25.88375,85.375,4.86625,0.0
Quảng Trị,22-04-2025,26.0425,84.25,4.02625,0.97
Quảng Trị,23-04-2025,27.39,77.5,4.615,0.57
Sóc Trăng,18-04-2025,29.18,68.5,2.7199999999999998,0.0
Sóc Trăng,19-04-2025,29.798750000000002,65.625,2.96125,0.0
Sóc Trăng,20-04-2025,30.2175,62.0,2.96875,0.0
Sóc Trăng,21-04-2025,30.84125,58.25,3.175,0.0
Sóc Trăng,22-04-2025,30.2775,61.0,3.05125,0.0
Sóc Trăng,23-04-2025,32.5225,52.0,2.5324999999999998,0.8400000000000001
Sơn La,18-04-2025,21.62,69.5,0.8825,1.3
Sơn La,19-04-2025,22.9925,60.875,0.765,0.12
Sơn La,20-04-2025,23.05125,63.5,0.73875,0.16
Sơn La,21-04-2025,23.88375,60.125,0.7825,0.5
Sơn La,22-04-2025,23.665,64.125,0.78,0.59
Sơn La,23-04-2025,27.990000000000002,47.25,0.795,0.0
Tây Ninh,18-04-2025,29.677500000000002,64.0,3.4675,0.89
Tây Ninh,19-04-2025,30.58125,60.25,2.93125,2.19
Tây Ninh,20-04-2025,30.9875,54.5,2.99625,0.0
Tây Ninh,21-04-2025,31.115,55.25,2.7925,0.0
Tây Ninh,22-04-2025,31.185,55.125,2.9725,0.0
Tây Ninh,23-04-2025,32.735,52.0,2.7125,0.12
Thái Bình,18-04-2025,24.7425,92.75,4.2925,1.47
Thái Bình,19-04-2025,23.8075,93.875,5.3175,0.0
Thái Bình,20-04-2025,24.06625,93.25,3.67625,2.08
Thái Bình,21-04-2025,24.17,93.25,4.68,0.0
Thái Bình,22-04-2025,24.31875,92.75,3.63625,0.0
Thái Bình,23-04-2025,24.1225,92.25,5.17,0.24
Thái Nguyên,18-04-2025,25.705,82.25,0.885,0.0
Thái Nguyên,19-04-2025,27.28875,71.875,1.47375,0.0
Thái Nguyên,20-04-2025,25.592499999999998,82.375,1.2775,2.9
Thái Nguyên,21-04-2025,24.4775,87.5,0.775,2.18
Thái Nguyên,22-04-2025,25.990000000000002,80.75,1.17125,4.9399999999999995
Thái Nguyên,23-04-2025,27.7125,70.5,1.58,0.17
Thanh Hóa,18-04-2025,25.835,84.25,2.15,0.42000000000000004
Thanh Hóa,19-04-2025,25.8725,83.5,3.52875,0.0
Thanh Hóa,20-04-2025,25.47625,86.5,3.1599999999999997,0.25
Thanh Hóa,21-04-2025,25.56625,86.5,3.23625,0.0
Thanh Hóa,22-04-2025,25.91875,85.0,2.92,0.0
Thanh Hóa,23-04-2025,27.175,81.25,4.7075,0.0
Thừa Thiên Huế,18-04-2025,25.07,89.25,3.5475,7.64
Thừa Thiên Huế,19-04-2025,25.91,84.25,2.69375,4.52
Thừa Thiên Huế,20-04-2025,25.74125,83.5,3.155,2.09
Thừa Thiên Huế,21-04-2025,26.08125,83.125,3.8075,0.3
Thừa Thiên Huế,22-04-2025,26.48,80.0,4.52625,0.32
Thừa Thiên Huế,23-04-2025,27.3725,77.75,3.75,4.29
Tiền Giang,18-04-2025,30.305,68.25,3.18,0.0
Tiền Giang,19-04-2025,30.478749999999998,62.875,3.4575,0.0
Tiền Giang,20-04-2025,30.18625,60.375,3.5125,0.0
Tiền Giang,21-04-2025,30.43125,61.5,2.895,0.0
Tiền Giang,22-04-2025,30.91125,57.625,3.125,0.16
Tiền Giang,23-04-2025,33.5575,49.75,2.6625,0.3
TP. Hồ Chí Minh,18-04-2025,29.615,76.25,3.8899999999999997,0.0
TP. Hồ Chí Minh,19-04-2025,28.015,75.625,4.7025,0.0
TP. Hồ Chí Minh,20-04-2025,27.99,73.375,4.6525,0.0
TP. Hồ Chí Minh,21-04-2025,28.3875,74.75,4.915,0.0
TP. Hồ Chí Minh,22-04-2025,28.3075,74.125,4.29125,0.0
TP. Hồ Chí Minh,23-04-2025,29.485,69.25,4.0175,1.11
Trà Vinh,18-04-2025,29.1675,74.25,2.0425,0.0
Trà Vinh,19-04-2025,29.509999999999998,67.25,2.62125,0.0
Trà Vinh,20-04-2025,29.561249999999998,65.0,2.60875,0.0
Trà Vinh,21-04-2025,30.24125,62.75,2.73,0.0
Trà Vinh,22-04-2025,30.38375,60.5,2.875,0.14
Trà Vinh,23-04-2025,33.165,50.75,2.51,0.24
Tuyên Quang,18-04-2025,22.6275,76.25,1.135,0.59
Tuyên Quang,19-04-2025,24.362499999999997,65.75,1.61375,0.0
Tuyên Quang,20-04-2025,23.541249999999998,71.5,1.55625,0.9199999999999999
Tuyên Quang,21-04-2025,22.66625,75.75,1.3900000000000001,0.42000000000000004
Tuyên Quang,22-04-2025,24.1975,69.5,1.3387499999999999,6.26
Tuyên Quang,23-04-2025,24.97,65.75,0.9825,0.84
Vĩnh Long,18-04-2025,30.1675,66.75,2.8525,0.0
Vĩnh Long,19-04-2025,30.055,64.25,2.8875,0.0
Vĩnh Long,20-04-2025,30.43125,60.375,2.9425,0.0
Vĩnh Long,21-04-2025,30.69125,58.5,2.745,0.0
Vĩnh Long,22-04-2025,30.63375,59.125,2.68375,0.0
Vĩnh Long,23-04-2025,31.925,57.0,2.3225,1.38
Vĩnh Phúc,18-04-2025,19.615,80.75,1.7625,0.0
Vĩnh Phúc,19-04-2025,20.855,72.0,2.2487500000000002,0.0
Vĩnh Phúc,20-04-2025,19.68,79.5,2.255,3.0599999999999996
Vĩnh Phúc,21-04-2025,20.11125,76.375,1.9225,0.48
Vĩnh Phúc,22-04-2025,20.5775,75.625,1.9937500000000001,2.65
Vĩnh Phúc,23-04-2025,19.8925,75.75,1.84,0.18
Yên Bái,18-04-2025,25.255,79.0,0.6799999999999999,2.39
Yên Bái,19-04-2025,26.60375,71.5,1.16625,1.9400000000000002
Yên Bái,20-04-2025,25.235,78.125,1.04875,2.9499999999999997
Yên Bái,21-04-2025,25.485,78.0,1.14625,2.84
Yên Bái,22-04-2025,25.64,78.375,0.8099999999999999,9.19
Yên Bái,23-04-2025,25.75,76.0,1.235,1.97
